ticker,predictedClose,lastClosePrice,positionType,entryPrice,closePrice,profit,date
TITAN.NS,3504.732421875,3363,Long,,,,
BAJFINANCE.NS,6964.13134765625,6739,Long,,,,
LT.NS,3553.785400390625,3467.5,Long,,,,
RELIANCE.NS,2893.126708984375,2869.5,Long,,,,
TCS.NS,3902.478515625,3853.35009765625,Long,,,,
RELIANCE.NS,2893.126708984375,2869.5,Long,,,,
TITAN.NS,3504.732421875,3363,Long,,,,
BAJFINANCE.NS,6964.13134765625,6739,Long,,,,
TCS.NS,3902.478515625,3853.35,Long,,,,
RELIANCE.NS,2893.126708984375,2869.5,Long,,,,
HDFC.NS,2732.0029296875,2732,Long,,,,
HINDUNILVR.NS,2280.892822265625,2382.5,Short,,,,
ICICIBANK.NS,1113.3221435546875,1134.5,Short,,,,
AXISBANK.NS,1108.47607421875,1165.25,Short,,,,
